"category","year","prize_amount","prize_amount_adjusted"
2,1956,200123,3057995
4,1956,200123,3057995
5,1956,200123,3057995
1,1957,208629,3056055
2,1957,208629,3056055
3,1957,208629,3056055
4,1957,208629,3056055
5,1957,208629,3056055
1,1958,214559,2998180
2,1958,214559,2998180
3,1958,214559,2998180
4,1958,214559,2998180
5,1958,214559,2998180
1,1959,220678,3063530
2,1959,220678,3063530
3,1959,220678,3063530
4,1959,220678,3063530
5,1959,220678,3063530
1,1960,225987,3018845
2,1960,225987,3018845
3,1960,225987,3018845
4,1960,225987,3018845
5,1960,225987,3018845
1,1961,250233,3260705
2,1961,250233,3260705
3,1961,250233,3260705
4,1961,250233,3260705
5,1961,250233,3260705
1,1962,257220,3213737
2,1962,257220,3213737
3,1962,257220,3213737
4,1962,257220,3213737
5,1962,257220,3213737
1,1963,265000,3216343
2,1963,265000,3216343
3,1963,265000,3216343
4,1963,265000,3216343
5,1963,265000,3216343
1,1964,273000,3203602
2,1964,273000,3203602
3,1964,273000,3203602
4,1964,273000,3203602
5,1964,273000,3203602
1,1965,282000,3152463
2,1965,282000,3152463
3,1965,282000,3152463
4,1965,282000,3152463
5,1965,282000,3152463
1,1966,300000,3154455
2,1966,300000,3154455
4,1966,300000,3154455
5,1966,300000,3154455
1,1967,320000,3221232
2,1967,320000,3221232
4,1967,320000,3221232
5,1967,320000,3221232
1,1968,350000,3457674
2,1968,350000,3457674
3,1968,350000,3457674
4,1968,350000,3457674
5,1968,350000,3457674
1,1969,375000,3604072
6,1969,375000,3604072
2,1969,375000,3604072
3,1969,375000,3604072
4,1969,375000,3604072
5,1969,375000,3604072
1,1970,400000,3600000
6,1970,400000,3600000
2,1970,400000,3600000
3,1970,400000,3600000
4,1970,400000,3600000
5,1970,400000,3600000
1,1971,450000,3762992
6,1971,450000,3762992
2,1971,450000,3762992
3,1971,450000,3762992
4,1971,450000,3762992
5,1971,450000,3762992
1,1972,480000,3790037
6,1972,480000,3790037
2,1972,480000,3790037
4,1972,480000,3790037
5,1972,480000,3790037
1,1973,510000,3774355
6,1973,510000,3774355
2,1973,510000,3774355
3,1973,510000,3774355
4,1973,510000,3774355
5,1973,510000,3774355
1,1974,550000,3696835
6,1974,550000,3696835
2,1974,550000,3696835
3,1974,550000,3696835
4,1974,550000,3696835
5,1974,550000,3696835
1,1975,630000,3856254
6,1975,630000,3856254
2,1975,630000,3856254
3,1975,630000,3856254
4,1975,630000,3856254
5,1975,630000,3856254
1,1976,681000,3786503
6,1976,681000,3786503
2,1976,681000,3786503
3,1976,681000,3786503
4,1976,681000,3786503
5,1976,681000,3786503
1,1977,700000,3490141
6,1977,700000,3490141
2,1977,700000,3490141
3,1977,700000,3490141
4,1977,700000,3490141
5,1977,700000,3490141
1,1978,725000,3283369
6,1978,725000,3283369
2,1978,725000,3283369
3,1978,725000,3283369
4,1978,725000,3283369
5,1978,725000,3283369
1,1979,800000,3384861
6,1979,800000,3384861
2,1979,800000,3384861
3,1979,800000,3384861
4,1979,800000,3384861
5,1979,800000,3384861
1,1980,880000,3273415
6,1980,880000,3273415
2,1980,880000,3273415
3,1980,880000,3273415
4,1980,880000,3273415
5,1980,880000,3273415
1,1981,1000000,3318750
6,1981,1000000,3318750
2,1981,1000000,3318750
3,1981,1000000,3318750
4,1981,1000000,3318750
5,1981,1000000,3318750
1,1982,1150000,3514532
6,1982,1150000,3514532
2,1982,1150000,3514532
